source,target,language_pair,legal_category,translation,reference,bleu,meteor,comet
"The application shall show that the applicant exists as a legal person and has the financial and operational capacity to complete the proposed action or work programme, subject to Article 176(4).","Der Antrag dient dem Nachweis der rechtlichen Existenz des Antragstellers sowie seiner finanziellen und operativen Fähigkeit, die vorgeschlagene Maßnahme bzw. das vorgeschlagene Arbeitsprogramm vorbehaltlich des Artikels 176 Absatz 4 vollständig durchzuführen.",en-de,Legal Theory & Latin Terms,"Der Antrag muss nachweisen, dass der Antragsteller als Rechtsperson existiert und über die finanziellen und operativen Kapazitäten verfügt, die vorgeschlagene Maßnahme oder das vorgeschlagene Arbeitsprogramm unter Beachtung des Artikels 176 Absatz 4 durchzuführen.","Der Antrag dient dem Nachweis der rechtlichen Existenz des Antragstellers sowie seiner finanziellen und operativen Fähigkeit, die vorgeschlagene Maßnahme bzw. das vorgeschlagene Arbeitsprogramm vorbehaltlich des Artikels 176 Absatz 4 vollständig durchzuführen.",0.2492914078067586,0.5970614366604342,[0.635162353515625]
Article I,Artikel I,en-de,Legal Theory & Latin Terms,Artikel I,Artikel I,1.491668146240062e-154,0.9375,[1.31167471408844]
I. All persons having completed their compulsory education (having reached school-leaving age) who carried out farm work on the holding under survey during the 12 months up to the survey day.,"I. Alle Personen ab Ende des schulpflichtigen Alters, die in den letzten zwölf Monaten vor dem Tag der Erhebung landwirtschaftliche Arbeiten innerhalb des befragten landwirtschaftlichen Betriebs verrichtet haben.",en-de,Legal Theory & Latin Terms,"I. Alle Personen, die ihre Schulpflicht erfüllt haben (das Schulalter erreicht haben) und in den 12 Monaten vor dem Erhebungsstag landwirtschaftliche Arbeiten auf dem betreffenden Betrieb ausgeführt haben.

Alternatively, a more formal translation:

I. Alle Personen, die ihre Vollzeitschulpflicht abgeschlossen haben (das Mindestschulalter erreicht haben) und im Zeitraum von 12 Monaten vor dem Stichtag landwirtschaftliche Tätigkeiten auf dem im Rahmen der Erhebung betrachteten landwirtschaftlichen Betrieb ausgeübt haben.

Note: ""Schulpflicht"" refers to compulsory education, and ""Schulalter"" refers to the age at which one is no longer required to attend school. ""Erhebungsstag"" is a common term in statistics and surveys, equivalent to ""survey day"". ""Betrachteter Betrieb"" means ""the holding under survey"".","I. Alle Personen ab Ende des schulpflichtigen Alters, die in den letzten zwölf Monaten vor dem Tag der Erhebung landwirtschaftliche Arbeiten innerhalb des befragten landwirtschaftlichen Betriebs verrichtet haben.",1.2826794989407533e-78,0.3382170048836715,[-1.1159522533416748]
"""- the third and fourth paragraphs of Article 6 shall apply from 1 January 2003,"".","""- gilt Artikel 6 Unterabsätze 3 und 4 erst ab 1. Januar 2003,"".",en-de,Legal Theory & Latin Terms,"""- die Absätze 3 und 4 des Artikels 6 finden ab dem 1. Januar 2003 Anwendung,"".","""- gilt Artikel 6 Unterabsätze 3 und 4 erst ab 1. Januar 2003,"".",0.23632009599741205,0.7934426229508196,[0.7674458026885986]
Article 28(5) shall apply.,Es gilt Artikel 28 Absatz 5.,en-de,Legal Theory & Latin Terms,Artikel 28 Absatz 5 gilt.,Es gilt Artikel 28 Absatz 5.,0.4760116549244004,0.8152173913043477,[0.8824562430381775]
It shall be granted only if the official's spouse engages in a gainful activity at least half-time.,"Die Dienstbefreiung wird nur gewährt, wenn der Ehegatte des Beamten zumindest halbzeitlich erwerbstätig ist.",en-de,Legal Theory & Latin Terms,"Es wird nur gewährt, wenn der Ehepartner des Amtsträgers mindestens halbtags eine erwerbsmäßige Tätigkeit ausübt.","Die Dienstbefreiung wird nur gewährt, wenn der Ehegatte des Beamten zumindest halbzeitlich erwerbstätig ist.",0.30277029197532096,0.48379270186335405,[0.529853880405426]
the structure in which it is presented shall be the same as that of the budget itself;,diese Rechnung folgt der Gliederung des Haushaltsplans;,en-de,Legal Theory & Latin Terms,"Die Struktur, in der sie präsentiert wird, soll dieselbe sein wie die des Haushaltsplans selbst; 

Alternatively, a more formal translation could be:

Die Gliederung, in der sie vorgelegt wird, muss mit der des Haushaltsplans selbst übereinstimmen;",diese Rechnung folgt der Gliederung des Haushaltsplans;,3.3820843419568566e-155,0.3206896551724138,[-1.3381755352020264]
"Where the difference established in accordance with paragraph 3 of this Article is more than 20 %, the farmer shall be excluded once again from receiving aid up to an amount corresponding to the difference between the number of animals declared and the number of animals determined in accordance with Article 57(3).","Beläuft sich die gemäß Absatz 3 dieses Artikels bestimmte Differenz auf mehr als 20 %, so ist der Betriebsinhaber ein weiteres Mal bis zur Höhe eines Betrags, der der Differenz zwischen der angegebenen Zahl der Tiere und der gemäß Artikel 57 Absatz 3 ermittelten entspricht, von der Beihilfegewährung auszuschließen.",en-de,Legal Theory & Latin Terms,"Wo die nach Absatz 3 dieses Artikels festgestellte Differenz mehr als 20 % beträgt, wird dem Landwirt erneut die Gewährung von Beihilfen bis zu einem Betrag, der der Differenz zwischen der angegebenen Tierzahl und der nach Artikel 57 Absatz 3 ermittelten Tierzahl entspricht, verwehrt.","Beläuft sich die gemäß Absatz 3 dieses Artikels bestimmte Differenz auf mehr als 20 %, so ist der Betriebsinhaber ein weiteres Mal bis zur Höhe eines Betrags, der der Differenz zwischen der angegebenen Zahl der Tiere und der gemäß Artikel 57 Absatz 3 ermittelten entspricht, von der Beihilfegewährung auszuschließen.",0.2924824954754174,0.5326792527624994,[0.6348335146903992]
"For the purposes of applying the first subparagraph to ""cooperative groups"", the competent authorities must take into account the public financial commitment of these groups with respect to other financial entities.",Für die Zwecke der Anwendung des Unterabsatzes 1 auf genossenschaftlich organisierte Unternehmensgruppen berücksichtigen die zuständigen Behörden die öffentlichen finanziellen Verpflichtungen dieser Gruppen gegenüber anderen Finanzunternehmen.,en-de,Legal Theory & Latin Terms,"Zum Zwecke der Anwendung des ersten Unterabsatzes auf ""Genossenschaftsgruppen"" müssen die zuständigen Behörden die öffentliche Finanzverpflichtung dieser Gruppen gegenüber anderen Finanzinstituten berücksichtigen.",Für die Zwecke der Anwendung des Unterabsatzes 1 auf genossenschaftlich organisierte Unternehmensgruppen berücksichtigen die zuständigen Behörden die öffentlichen finanziellen Verpflichtungen dieser Gruppen gegenüber anderen Finanzunternehmen.,0.2920529034990032,0.5918949083011583,[0.7410033345222473]
"This includes the target company in the case of a contested bid, in which case the details should be completed as far as is possible.","Bei einem feindlichen Übernahmeangebot gehört hierzu auch das Unternehmen, das übernommen werden soll; hierzu sind Angaben im Bereich des Möglichen zu machen.",en-de,Legal Theory & Latin Terms,"Dies umfasst das Zielunternehmen im Falle eines umstrittenen Angebots, in dem die Details so weit wie möglich vervollständigt werden sollten.

Alternativ:
Dies schließt das Zielunternehmen im Falle eines streitigen Angebots ein, wobei die Details soweit wie möglich vervollständigt werden sollten.","Bei einem feindlichen Übernahmeangebot gehört hierzu auch das Unternehmen, das übernommen werden soll; hierzu sind Angaben im Bereich des Möglichen zu machen.",1.1008876702055895e-231,0.11111111111111112,[-0.09514453262090683]
a regulated entity within the meaning of Article 1 is at the head of the group or at least one of the subsidiaries in the group is a regulated entity within the meaning of Article 1;,"An der Spitze der Gruppe steht ein beaufsichtigtes Unternehmen im Sinne des Artikels 1 oder mindestens eines der Tochterunternehmen in der Gruppe ist ein beaufsichtigtes Unternehmen im Sinne des Artikels 1,",en-de,Legal Theory & Latin Terms,"Eine gemäß Artikel 1 regulierte Einheit steht an der Spitze der Gruppe oder mindestens eines der Tochterunternehmen in der Gruppe ist eine gemäß Artikel 1 regulierte Einheit;

Alternatively, a more formal translation:

Ein nach Artikel 1 reguliertes Unternehmen steht an der Spitze der Gruppe oder zumindest eines der Tochterunternehmen in der Gruppe ist ein nach Artikel 1 reguliertes Unternehmen;

Note: The term ""regulated entity"" can be translated to German as ""regulierte Einheit"" or ""reguliertes Unternehmen"", both are acceptable, but ""reguliertes Unternehmen"" might be more common in formal or legal contexts.","An der Spitze der Gruppe steht ein beaufsichtigtes Unternehmen im Sinne des Artikels 1 oder mindestens eines der Tochterunternehmen in der Gruppe ist ein beaufsichtigtes Unternehmen im Sinne des Artikels 1,",0.11265069490593944,0.5607330442752397,[-1.243666648864746]
QUALIFICATION FOR SUBSIDIARY PROTECTION,VORAUSSETZUNGEN FÜR DEN ANSPRUCH AUF SUBSIDIÄREN SCHUTZ,en-de,Legal Theory & Latin Terms,"Die Übersetzung ins Deutsche lautet:

**VORAUSSETZUNGEN FÜR SUBSIDIÄREN SCHUTZ** 

Alternativ kann man auch folgende Übersetzungen verwenden:

* **VORAUSSETZUNGEN FÜR EINEN SUBSIDIÄREN SCHUTZSTATUS**
* **QUALIFIZIERUNG FÜR DEN SUBSIDIÄREN SCHUTZ**
* **ANFORDERUNGEN AN DEN SUBSIDIÄREN SCHUTZ**

Je nach Kontext und spezifischer Terminologie kann jedoch die erste Übersetzung **VORAUSSETZUNGEN FÜR SUBSIDIÄREN SCHUTZ** am geeignetsten sein.",VORAUSSETZUNGEN FÜR DEN ANSPRUCH AUF SUBSIDIÄREN SCHUTZ,3.4011186646961274e-155,0.3231884057971015,[-0.37475448846817017]
Article 4 is replaced by the following:,2. Artikel 4 erhält folgende Fassung:,en-de,Legal Theory & Latin Terms,Artikel 4 wird durch folgendes ersetzt:,2. Artikel 4 erhält folgende Fassung:,6.684949609530091e-155,0.39952531645569617,[0.5686035752296448]
"A bank is exposed to liquidity risk and to risks arising from currency fluctuations, interest rate movements, changes in market prices and from counterparty failure.","Eine Bank ist einem Liquiditätsrisiko und anderen Risiken ausgesetzt, die sich aus Währungsschwankungen, Zinsänderungen, Veränderungen der Marktpreise oder aus Adressenausfällen ergeben.",en-de,Legal Theory & Latin Terms,"Eine Bank ist Liquiditätsrisiken und Risiken ausbruch, die durch Währungsschwankungen, Zinsänderungen, Veränderungen der Marktpreise und durch das Ausfallrisiko von Kontrahenten entstehen.

Alternatively, a more formal and technical translation:

Eine Bank ist Liquiditätsrisiken sowie Risiken aus Währungs-, Zins-, Marktpreis- und Ausfallrisiken von Kontrahenten ausgesetzt.","Eine Bank ist einem Liquiditätsrisiko und anderen Risiken ausgesetzt, die sich aus Währungsschwankungen, Zinsänderungen, Veränderungen der Marktpreise oder aus Adressenausfällen ergeben.",0.1541845178755306,0.4764968208561827,[-0.39490005373954773]
