source,target,language_pair,legal_category,translation,reference,bleu,meteor,comet
"The application shall show that the applicant exists as a legal person and has the financial and operational capacity to complete the proposed action or work programme, subject to Article 176(4).","Der Antrag dient dem Nachweis der rechtlichen Existenz des Antragstellers sowie seiner finanziellen und operativen Fähigkeit, die vorgeschlagene Maßnahme bzw. das vorgeschlagene Arbeitsprogramm vorbehaltlich des Artikels 176 Absatz 4 vollständig durchzuführen.",en-de,Legal Theory & Latin Terms,"Der Antrag muss nachweisen, dass der Antragsteller als Rechtsperson existiert und über die finanziellen und operativen Kapazitäten verfügt, die vorgeschlagene Maßnahme oder das vorgeschlagene Arbeitsprogramm unter Beachtung des Artikels 176 Absatz 4 durchzuführen.","Der Antrag dient dem Nachweis der rechtlichen Existenz des Antragstellers sowie seiner finanziellen und operativen Fähigkeit, die vorgeschlagene Maßnahme bzw. das vorgeschlagene Arbeitsprogramm vorbehaltlich des Artikels 176 Absatz 4 vollständig durchzuführen.",0.2492914078067586,0.5970614366604342,[0.635162353515625]
Article I,Artikel I,en-de,Legal Theory & Latin Terms,Artikel I,Artikel I,1.491668146240062e-154,0.9375,[1.31167471408844]
I. All persons having completed their compulsory education (having reached school-leaving age) who carried out farm work on the holding under survey during the 12 months up to the survey day.,"I. Alle Personen ab Ende des schulpflichtigen Alters, die in den letzten zwölf Monaten vor dem Tag der Erhebung landwirtschaftliche Arbeiten innerhalb des befragten landwirtschaftlichen Betriebs verrichtet haben.",en-de,Legal Theory & Latin Terms,"I. Alle Personen, die ihre Pflichtschulzeit (Schulpflichtalter erreicht haben) abgeschlossen haben und im Laufe der 12 Monate vor dem Erhebungsstichtag landwirtschaftliche Arbeiten auf dem unter Betrachtung stehenden Betrieb durchgeführt haben.

Alternatively, a more formal translation:

I. Alle Personen, die ihre Pflichtschulzeit (das Schulalter, in dem die Schulpflicht endet) erreicht haben und innerhalb der letzten 12 Monate vor dem Stichtag der Erhebung auf dem zur Erhebung anstehenden landwirtschaftlichen Betrieb landwirtschaftliche Tätigkeiten ausgeübt haben.

Note: The translation tries to maintain the formal and technical tone of the original text. Depending on the context and the target audience, slight variations in wording or phrasing might be possible.","I. Alle Personen ab Ende des schulpflichtigen Alters, die in den letzten zwölf Monaten vor dem Tag der Erhebung landwirtschaftliche Arbeiten innerhalb des befragten landwirtschaftlichen Betriebs verrichtet haben.",1.126728139081881e-78,0.3288346186803771,[-0.7568321228027344]
"""- the third and fourth paragraphs of Article 6 shall apply from 1 January 2003,"".","""- gilt Artikel 6 Unterabsätze 3 und 4 erst ab 1. Januar 2003,"".",en-de,Legal Theory & Latin Terms,"""- die dritten und vierten Absätze des Artikels 6 finden ab dem 1. Januar 2003 Anwendung,""","""- gilt Artikel 6 Unterabsätze 3 und 4 erst ab 1. Januar 2003,"".",0.17537670874647399,0.5616605616605616,[0.7337450385093689]
Article 28(5) shall apply.,Es gilt Artikel 28 Absatz 5.,en-de,Legal Theory & Latin Terms,Artikel 28 Absatz 5 findet Anwendung.,Es gilt Artikel 28 Absatz 5.,0.4347208719449914,0.6914285714285714,[0.7878665328025818]
It shall be granted only if the official's spouse engages in a gainful activity at least half-time.,"Die Dienstbefreiung wird nur gewährt, wenn der Ehegatte des Beamten zumindest halbzeitlich erwerbstätig ist.",en-de,Legal Theory & Latin Terms,"Es darf nur gewährt werden, wenn der Ehepartner des Amtsträgers mindestens halbtags einer erwerbsmäßigen Tätigkeit nachgeht.","Die Dienstbefreiung wird nur gewährt, wenn der Ehegatte des Beamten zumindest halbzeitlich erwerbstätig ist.",3.125579712088931e-78,0.3917863441672965,[0.3805557191371918]
the structure in which it is presented shall be the same as that of the budget itself;,diese Rechnung folgt der Gliederung des Haushaltsplans;,en-de,Legal Theory & Latin Terms,"Die Struktur, in der sie präsentiert wird, soll dieselbe sein wie die des Haushaltsplans selbst;",diese Rechnung folgt der Gliederung des Haushaltsplans;,5.0437883815744365e-155,0.3506944444444445,[-0.22725433111190796]
"Where the difference established in accordance with paragraph 3 of this Article is more than 20 %, the farmer shall be excluded once again from receiving aid up to an amount corresponding to the difference between the number of animals declared and the number of animals determined in accordance with Article 57(3).","Beläuft sich die gemäß Absatz 3 dieses Artikels bestimmte Differenz auf mehr als 20 %, so ist der Betriebsinhaber ein weiteres Mal bis zur Höhe eines Betrags, der der Differenz zwischen der angegebenen Zahl der Tiere und der gemäß Artikel 57 Absatz 3 ermittelten entspricht, von der Beihilfegewährung auszuschließen.",en-de,Legal Theory & Latin Terms,"Wo die gemäß Absatz 3 dieses Artikels festgestellte Differenz mehr als 20 % beträgt, wird dem Landwirt erneut die Gewährung von Beihilfen bis zu einem Betrag, der der Differenz zwischen der angegebenen Tierzahl und der nach Artikel 57 Absatz 3 ermittelten Tierzahl entspricht, versagt.","Beläuft sich die gemäß Absatz 3 dieses Artikels bestimmte Differenz auf mehr als 20 %, so ist der Betriebsinhaber ein weiteres Mal bis zur Höhe eines Betrags, der der Differenz zwischen der angegebenen Zahl der Tiere und der gemäß Artikel 57 Absatz 3 ermittelten entspricht, von der Beihilfegewährung auszuschließen.",0.33270824431958373,0.5457310267857143,[0.5203997492790222]
"For the purposes of applying the first subparagraph to ""cooperative groups"", the competent authorities must take into account the public financial commitment of these groups with respect to other financial entities.",Für die Zwecke der Anwendung des Unterabsatzes 1 auf genossenschaftlich organisierte Unternehmensgruppen berücksichtigen die zuständigen Behörden die öffentlichen finanziellen Verpflichtungen dieser Gruppen gegenüber anderen Finanzunternehmen.,en-de,Legal Theory & Latin Terms,"Für die Anwendung des ersten Unterabsatzes auf ""Genossenschaftliche Gruppen"" müssen die zuständigen Behörden die öffentlichen Finanzverpflichtungen dieser Gruppen gegenüber anderen Finanzinstituten berücksichtigen.

Alternatively, a more formal translation:

 Zu Zwecken der Anwendung des ersten Spiegelstrichs auf ""genossenschaftliche Gruppen"" haben die zuständigen Behörden die öffentlichen Finanzverpflichtungen dieser Gruppen gegenüber anderen Finanzinstituten zu berücksichtigen.",Für die Zwecke der Anwendung des Unterabsatzes 1 auf genossenschaftlich organisierte Unternehmensgruppen berücksichtigen die zuständigen Behörden die öffentlichen finanziellen Verpflichtungen dieser Gruppen gegenüber anderen Finanzunternehmen.,0.1312352583621964,0.6011931211178656,[-0.2797980308532715]
"This includes the target company in the case of a contested bid, in which case the details should be completed as far as is possible.","Bei einem feindlichen Übernahmeangebot gehört hierzu auch das Unternehmen, das übernommen werden soll; hierzu sind Angaben im Bereich des Möglichen zu machen.",en-de,Legal Theory & Latin Terms,"Dies umfasst das Zielunternehmen im Falle eines umstrittenen Angebots, in dem die Einzelheiten so weit wie möglich vervollständigt werden sollten.

Alternativ auch möglich:
Dies schließt das Zielunternehmen im Falle eines streitigen Angebots ein, wobei die Angaben so vollständig wie möglich zu machen sind.","Bei einem feindlichen Übernahmeangebot gehört hierzu auch das Unternehmen, das übernommen werden soll; hierzu sind Angaben im Bereich des Möglichen zu machen.",3.941718568038155e-155,0.25156661520297885,[-0.08072370290756226]
