source,target,legal_entity,BLEU,METEOR,COMET,term
Cash management includes the investment of excess cash in cash equivalents.,Zur Zahlungsmitteldisposition gehört auch die Investition überschüssiger Zahlungsmittel in Zahlungsmitteläquivalente.,investment,0.020255986027125642,0.09009009009009009,0.9557756781578064,investment
"The establishment of the supplementary supervision of credit institutions, insurance undertakings and investment firms in a financial conglomerate is one such stage.","Die Einführung einer zusätzlichen Beaufsichtigung der Kreditinstitute, Versicherungsunternehmen und Wertpapierfirmen eines Finanzkonglomerats stellt einen solchen Schritt dar.","insurance, credit, investment",0.009410489957951634,0.05128205128205129,0.9579575657844543,investment
"The amount of the advance shall not exceed 20 % of the total cost of the investment, and its payment shall be subject to the establishment of a bank guarantee corresponding to 110 % of the amount of the advance.",Der Vorschuss darf 20 % der gesamten Investitionskosten nicht überschreiten und wird erst nach Leistung einer Banksicherheit in Höhe von 110 % des Vorschussbetrags gezahlt.,"bank, guarantee, investment, advance",0.013890266032988884,0.16159420289855073,0.9550158381462097,investment
"the conditions established, for members or participants other than investment firms and credit institutions, under paragraph 3;","den für andere Mitglieder oder Teilnehmer als Wertpapierfirmen und Kreditinstitute gemäß Absatz 3 festgelegten Bedingungen,","credit, investment",0.011451997463067555,0.06097560975609756,0.9599166512489319,investment
The carrying amount of the investment at the date that it ceases to be a subsidiary is regarded as cost thereafter.,Der Buchwert der Anteile zum Zeitpunkt des Erlöschens der Eigenschaft als Tochterunternehmen ist danach als Anschaffungskosten anzusetzen.,"thereafter, subsidiary, investment",0.008687475782716616,0.027173913043478257,0.9585970044136047,investment
"exceptional expenditure necessarily incurred by the staff member for the purposes of the mission, either on receipt of special instructions or on account of force majeure and in the interests of the Foundation, and resulting in disbursement out of reasonable proportion to the allowance provided.","außergewöhnliche Auslagen, die dem Bediensteten bei Erledigung eines dienstlichen Auftrags entweder auf Grund besonderer Weisungen oder durch höhere Gewalt und im Interesse des Organs entstehen, sofern die gewährten Tagegelder für diese Auslagen offensichtlich nicht ausreichen.","foundation, member, receipt, account, reasonable",0.005034460682273033,0.03846153846153846,0.9279300570487976,member
ICES division/NAFO sub-area and non-member country fishing zone (reference No in log-book : (22)),_ ICES / NAFO-GEBIET UND DRITTLAND-FISCHEREIZONE (LOGBUCH-BEZUGSNUMMER : (22)) :,member,0.21869766863251183,0.4407596371882086,0.9450245499610901,member
"A staff member who receives instructions which he considers to be irregular or likely to give rise to serious difficulties shall inform his immediate superior thereof, if necessary in writing.","Hält ein Bediensteter eine ihm erteilte Anordnung für fehlerhaft oder ist er der Meinung, daß ihre Ausführung schwerwiegende Nachteile zur Folge haben kann, so hat er seinem Vorgesetzten seine Auffassung, erforderlichenfalls schriftlich, mitzuteilen.",member,0.00575200893990609,0.026737967914438502,0.9440177083015442,member
"a loan taken up by a capital company with a member or a member's spouse or child, or a loan taken up with a third party, if it is guaranteed by a member, on condition that such loans have the same function as an increase in the company's capital.","die Darlehensaufnahme durch eine Kapitalgesellschaft bei einem Gesellschafter, beim Ehegatten oder bei einem Kind eines Gesellschafters sowie die Aufnahme von Darlehen bei Dritten, wenn ein Gesellschafter für ein solches Darlehen Sicherheit leistet; Voraussetzung ist, daß diese Darlehen die gleiche Funktion haben wie eine Erhöhung des Kapitals.","child, party, member, company, capital, loan, condition",0.004701712638603976,0.03891050583657587,0.9282602071762085,member
A staff member employed in a place where transport is recognized as being particularly difficult and expensive because of the remoteness of housing from the place of work may be paid a transport allowance.,"Einem Bediensteten, an dessen Ort der dienstlichen Verwendung die Beförderungsbedingungen wegen der Entfernung zwischen Wohnung und Arbeitsstätte als besonders schwierig und kostspielig anerkannt worden sind, kann eine Fahrkostenzulage gewährt werden.",member,0.005311256555131655,0.015060240963855423,0.9474712014198303,member
"For products other than those of standard quality, buying-in prices shall be derived from those in force for the relevant standard qualities, by reference to differences in quality in relation to the standard quality.","Die Kaufpreise für andere Erzeugnisse als Erzeugnisse der Standardqualität werden von den für die betreffenden Standardqualitäten geltenden Kaufpreisen abgeleitet, und zwar unter Berücksichtigung der gegenüber den Standardqualitäten bestehenden Qualitätsunterschiede.",relevant,0.005959978627465526,0.03164556962025317,0.9400437474250793,relevant
2.The members of the Board shall be appointed in such a way as to secure the highest standards of competence and a broad range of relevant expertise.,"(2)Die Ernennung der Mitglieder des Verwaltungsrats erfolgt so, dass die höchste fachliche Qualifikation und ein breites Spektrum an einschlägigem Fachwissen gewährleistet sind.","competence, relevant",0.006716472052354862,0.01845018450184502,0.9614406824111938,relevant
"The coordinator, after consultation with the other relevant competent authorities, shall identify the type of transactions and risks regulated entities in a particular financial conglomerate shall report in accordance with the provisions of Article 7(2) and Article 8(2) on the reporting of intra-group transactions and risk concentration.","Der Koordinator legt nach Konsultation der anderen jeweils zuständigen Behörden fest, welche Arten von Transaktionen und Risiken von den beaufsichtigten Unternehmen eines bestimmten Finanzkonglomerats gemäß Artikel 7 Absatz 2 und Artikel 8 Absatz 2 über die Mitteilung von gruppeninternen Transaktionen und Risikokonzentrationen zu melden sind.","competent, article, risk, relevant",0.005107786384598448,0.06263048016701461,0.9056058526039124,relevant
"The information in (2) to (6), (8), (10) and (11) of the entry line, to which the concise note refers, must be repeated in the relevant columns of this entry line.","Die Angaben unter (2) bis (6), (8), (10) und (11) der Buchungszeile, auf die sich die kurzgefasste Bemerkung bezieht, ist in den betreffenden Spalten dieser Buchungszeile zu wiederholen.","note, information, relevant, entry",0.28509173779340496,0.4760071850141135,0.9452667832374573,relevant
"In addition, other relevant guidance is provided under sections 8, 9 and 13.","Zusätzliche einschlägige Hinweise finden sich in den Abschnitten 8, 9 und 13.",relevant,0.07655122720591222,0.39612676056338025,0.9807149767875671,relevant
Commission Regulation (EC) No 2132/2003 of 4 December 2003 amending Regulation (EC) No 2799/1999 laying down detailed rules for applying Regulation (EC) No 1255/1999 as regards the grant of aid for skimmed milk and skimmed-milk powder intended for animal feed and the sale of such skimmed-milk powder,Verordnung (EG) Nr. 2132/2003 der Kommission vom 4. Dezember 2003 zur Änderung der Verordnung (EG) Nr. 2799/1999 mit Durchführungsvorschriften zur Verordnung (EG) Nr. 1255/1999 des Rates hinsichtlich der Gewährung einer Beihilfe für Magermilch und Magermilchpulver für Futterzwecke und des Verkaufs dieses Magermilchpulvers,"regulation, grant, sale, rules, commission",0.006289893946162305,0.10556621880998082,0.9371534585952759,rules
Rules common to several measures,Allgemeine Vorschriften für verschiedene Maßnahmen,rules,0.0,0.0,0.9817439913749695,rules
