source,target,legal_entity,BLEU,METEOR,COMET,term
six days shall be equivalent to one week and vice versa;,SO ENTSPRECHEN EINANDER SECHS TAGE UND EINE WOCHE;,equivalent,0.017033186037639283,0.053763440860215055,0.9478963017463684,equivalent
"It shall not permit the parent company to give instructions regarding day-to-day operations, nor with respect to individual decisions concerning the construction or upgrading of transmission and distribution lines, that do not exceed the terms of the approved financial plan, or any equivalent instrument;","Dies erlaubt es dem Mutterunternehmen nicht, Weisungen bezüglich des laufenden Betriebs oder einzelne Entscheidungen über den Bau oder die Modernisierung von Fernleitungen und Verteilerleitungen zu erteilen, die über den Rahmen des genehmigten Finanzplans oder eines gleichwertigen Instruments nicht hinausgehen;","construction, equivalent, permit, instrument, company, parent, distribution",0.005034460682273033,0.04694835680751174,0.9146354794502258,equivalent
TO THE EXTENT THAT INSTRUMENTS OR APPARATUS OF EQUIVALENT SCIENTIFIC VALUE ARE NOT BEING MANUFACTURED IN THE COMMUNITY.,UND SOFERN GEGENWÄRTIG KEINE INSTRUMENTE UND APPARATE VON GLEICHEM WISSENSCHAFTLICHEM WERT IN DER GEMEINSCHAFT HERGESTELLT WERDEN.,"equivalent, value",0.012109013026441871,0.0872093023255814,0.9137742519378662,equivalent
The yellow index shall be measured according to the ICC 152 method or an equivalent recognised method.,Der Gelb-Index wird nach der Methode ICC 152 oder einer gleichwertigen anerkannten Methode bestimmt.,equivalent,0.025281168697394947,0.24313725490196078,0.9608064889907837,equivalent
2 checks to ensure that cargo entering the port facility matches the delivery note or equivalent cargo documentation;.,"2 Überprüfungen, um sicherzustellen, dass die in die Hafenanlage eingeführte Ladung mit dem Lieferschein beziehungsweise den entsprechenden Ladungsunterlagen übereinstimmt;.","delivery, equivalent, note",0.019398130898389824,0.1125795398923152,0.9380609393119812,equivalent
the application of any quantitative restriction or measure having equivalent effect.,die Anwendung von mengenmäßigen Beschränkungen oder Maßnahmen gleicher Wirkung.,"restriction, equivalent",0.017033186037639283,0.04901960784313726,0.9555103182792664,restriction
"Restriction of investments, or failing that of a majority of funds invested:",Beschränken sich die Beteiligungen insgesamt oder größtenteils,"majority, restriction",0.0,0.06493506493506494,0.9779488444328308,restriction
"1 restriction or suspension of cargo movements or operations within all, or part, of the port facility or specific ships; and.",1 die Beschränkung oder Aussetzung von Ladungsbewegungen oder Betriebsabläufen in der Gesamtheit oder einem Teil der Hafenanlage oder bestimmten Schiffen;.,restriction,0.009970222994544455,0.06726457399103139,0.9413971900939941,restriction
"Limits placed by suppliers on their distributors' sales to any end user in other Member States, for instance where distributor remuneration or the purchase price is made dependent on the destination of the vehicles or on the place of residence of the end users, amount to an indirect restriction on sales.","Beschränkungen der Verkäufe ihrer Händler an Endverbraucher in anderen Mitgliedstaaten durch Lieferanten, indem beispielsweise die Vergütung des Händlers oder der Verkaufspreis vom Bestimmungsort des Fahrzeugs oder dem Wohnort des Endverbrauchers abhängig gemacht wird, stellen eine mittelbare Verkaufsbeschränkung dar.","member, restriction, dependent, residence, sales",0.004971455833015154,0.058962264150943404,0.9273273944854736,restriction
Any measure restricting the issue of import or export licences to a specified category of person shall be regarded as a measure having effect equivalent to a quantitative restriction.,Als Maßnahmen mit gleicher Wirkung wie eine mengenmäßige Beschränkung gilt unter anderem die Begrenzung der Erteilung von Einfuhr- und Ausfuhrlizenzen auf eine bestimmte Gruppe von Empfangsberechtigten.,"restriction, person, issue, equivalent",0.006244385951234721,0.018315018315018316,0.9492482542991638,restriction
