source,target,legal_entity,BLEU,METEOR,COMET,term
"The coordinator, after consultation with the other relevant competent authorities, shall identify the type of transactions and risks regulated entities in a particular financial conglomerate shall report in accordance with the provisions of Article 7(2) and Article 8(2) on the reporting of intra-group transactions and risk concentration.","Der Koordinator legt nach Konsultation der anderen jeweils zuständigen Behörden fest, welche Arten von Transaktionen und Risiken von den beaufsichtigten Unternehmen eines bestimmten Finanzkonglomerats gemäß Artikel 7 Absatz 2 und Artikel 8 Absatz 2 über die Mitteilung von gruppeninternen Transaktionen und Risikokonzentrationen zu melden sind.","competent, article, risk, relevant",0.005107786384598448,0.06263048016701461,0.9056058526039124,competent
"The competent authorities involved, including the coordinator, shall where appropriate coordinate their supervisory actions.","Die betroffenen zuständigen Behörden - einschließlich des Koordinators - stimmen ihre Aufsichtstätigkeit untereinander ab, soweit dies angebracht ist.",competent,0.011466219374216899,0.050761421319796954,0.9645594954490662,competent
the competent services or institutions may extend that period up to a maximum of six months.,dieser Zeitraum kann von der zuständigen Arbeitsverwaltung oder dem zuständigen Träger auf höchstens sechs Monate verlängert werden.,competent,0.010845665754777514,0.027932960893854747,0.9691383242607117,competent
any financial contributions from the competent bodies referred to in Article 5;,"etwaige Finanzbeiträge der in Artikel 5 genannten zuständigen Stellen,","article, competent",0.018476860420522198,0.09708737864077671,0.9705228209495544,competent
The Committee shall keep any such guidance under review and take into account any changes to the consolidated supervision arrangements applied by such competent authorities.,Der Ausschuss überprüft diese Orientierungen regelmäßig und berücksichtigt dabei Änderungen bei der Ausübung der Beaufsichtigung auf konsolidierter Basis durch die betreffenden zuständigen Behörden.,"review, competent, account",0.0072658577559704465,0.020661157024793386,0.9522512555122375,competent
"exceptional expenditure necessarily incurred by the staff member for the purposes of the mission, either on receipt of special instructions or on account of force majeure and in the interests of the Foundation, and resulting in disbursement out of reasonable proportion to the allowance provided.","außergewöhnliche Auslagen, die dem Bediensteten bei Erledigung eines dienstlichen Auftrags entweder auf Grund besonderer Weisungen oder durch höhere Gewalt und im Interesse des Organs entstehen, sofern die gewährten Tagegelder für diese Auslagen offensichtlich nicht ausreichen.","foundation, member, receipt, account, reasonable",0.005034460682273033,0.03846153846153846,0.9279300570487976,member
ICES division/NAFO sub-area and non-member country fishing zone (reference No in log-book : (22)),_ ICES / NAFO-GEBIET UND DRITTLAND-FISCHEREIZONE (LOGBUCH-BEZUGSNUMMER : (22)) :,member,0.21869766863251183,0.4407596371882086,0.9450245499610901,member
"A staff member who receives instructions which he considers to be irregular or likely to give rise to serious difficulties shall inform his immediate superior thereof, if necessary in writing.","Hält ein Bediensteter eine ihm erteilte Anordnung für fehlerhaft oder ist er der Meinung, daß ihre Ausführung schwerwiegende Nachteile zur Folge haben kann, so hat er seinem Vorgesetzten seine Auffassung, erforderlichenfalls schriftlich, mitzuteilen.",member,0.00575200893990609,0.026737967914438502,0.9440177083015442,member
"a loan taken up by a capital company with a member or a member's spouse or child, or a loan taken up with a third party, if it is guaranteed by a member, on condition that such loans have the same function as an increase in the company's capital.","die Darlehensaufnahme durch eine Kapitalgesellschaft bei einem Gesellschafter, beim Ehegatten oder bei einem Kind eines Gesellschafters sowie die Aufnahme von Darlehen bei Dritten, wenn ein Gesellschafter für ein solches Darlehen Sicherheit leistet; Voraussetzung ist, daß diese Darlehen die gleiche Funktion haben wie eine Erhöhung des Kapitals.","child, party, member, company, capital, loan, condition",0.004701712638603976,0.03891050583657587,0.9282602071762085,member
A staff member employed in a place where transport is recognized as being particularly difficult and expensive because of the remoteness of housing from the place of work may be paid a transport allowance.,"Einem Bediensteten, an dessen Ort der dienstlichen Verwendung die Beförderungsbedingungen wegen der Entfernung zwischen Wohnung und Arbeitsstätte als besonders schwierig und kostspielig anerkannt worden sind, kann eine Fahrkostenzulage gewährt werden.",member,0.005311256555131655,0.015060240963855423,0.9474712014198303,member
"For the purposes of this Directive, ""special or exclusive rights"" mean rights granted by a competent authority of a Member State by way of any legislative, regulatory or administrative provision the effect of which is to limit the exercise of activities defined in Articles 3 to 7 to one or more entities, and which substantially affects the ability of other entities to carry out such activity.","""Besondere oder ausschließliche Rechte"" im Sinne dieser Richtlinie sind Rechte, die von einer zuständigen Behörde eines Mitgliedstaats mittels Rechts- oder Verwaltungsvorschriften gewährt wurden und dazu führen, dass die Ausübung einer der in den Artikeln 3 bis 7 genannten Tätigkeiten einem oder mehreren Unternehmen vorbehalten wird und dass die Möglichkeit anderer Unternehmen, diese Tätigkeit auszuüben, erheblich beeinträchtigt wird.","authority, state, member, rights, competent",0.004369443554329883,0.06944444444444445,0.9237781167030334,rights
"For the purposes of this Article, the market share held by the undertakings referred to in Article 1(2)(e) shall be apportioned equally to each undertaking having the rights or the powers listed in Article 1(2)(a).","Bei der Anwendung dieses Artikels wird der Marktanteil der in Artikel 1 Absatz 2 Buchstabe e) bezeichneten Unternehmen jedem der Unternehmen, das die in Artikel 1 Absatz 2 Buchstabe a) bezeichneten Rechte oder Einflussmöglichkeiten hat, zu gleichen Teilen zugerechnet.","share, listed, rights, article, held",0.014739391641260329,0.1658083645443196,0.9340256452560425,rights
This Directive respects the fundamental rights and observes the principles reflected in the Charter of Fundamental Rights of the European Union(9) and takes into account as appropriate the Convention for the protection of human rights and dignity of the human being with regard to the application of biology and medicine:,Diese Richtlinie wahrt die Grundrechte und beachtet die in der Charta der Grundrechte der Europäischen Union(9) enthaltenen Grundsätze und berücksichtigt in angemessener Weise das Übereinkommen zum Schutz der Menschenrechte und der Menschenwürde im Hinblick auf die Anwendung von Biologie und Medizin:,"charter, rights, account",0.04666753242533752,0.12254901960784315,0.937637984752655,rights
He/She shall exercise due diligence to ensure that the Communities receive their revenue and shall see that their rights are safeguarded.,"Er trägt dafür Sorge, dass die Einnahmen der Gemeinschaften eingehen und dass Rechte der Gemeinschaften gewahrt werden.","rights, diligence, due",0.008687475782716616,0.02590673575129534,0.9506936073303223,rights
"This Regulation respects the fundamental rights and observes the principles recognised in particular by the Charter of Fundamental Rights of the European Union, in particular the spirit of its Article 34(2).","Diese Verordnung beachtet die Grundrechte und die Prinzipien, die insbesondere durch die Charta der Grundrechte der Europäischen Union anerkannt sind, insbesondere den Geist des Artikels 34 Absatz 2 der Charta.","regulation, rights, article, charter",0.007711727065811939,0.07507507507507509,0.955415666103363,rights
"In the event of a polygamous marriage, where the sponsor already has a spouse living with him in the territory of a Member State, the Member State concerned shall not authorise the family reunification of a further spouse.","Lebt im Falle einer Mehrehe bereits ein Ehegatte gemeinsam mit dem Zusammenführenden im Hoheitsgebiet eines Mitgliedstaats, so gestattet der betreffende Mitgliedstaat nicht die Familienzusammenführung eines weiteren Ehegatten.","state, member, marriage, sponsor, family",0.005355924989097696,0.033112582781456956,0.9450660347938538,state
The second Member State may require the family members concerned to present with their application for a residence permit:,"Der zweite Mitgliedstaat kann von den Familienangehörigen des langfristig Aufenthaltsberechtigten verlangen, ihrem Antrag auf Erteilung eines Aufenthaltstitels Folgendes beizufügen:","state, member, residence, permit, family",0.009160285722098505,0.023923444976076555,0.9564482569694519,state
The Member State concerned shall grant the family members a first residence permit of at least one year's duration.,Der betreffende Mitgliedstaat erteilt den Familienangehörigen einen ersten Aufenthaltstitel mit mindestens einjähriger Gültigkeitsdauer.,"state, member, grant, residence, permit, family",0.009134423666564471,0.03401360544217687,0.9717233180999756,state
"By way of derogation, where the legislation of a Member State relating to family reunification in force on the date of adoption of this Directive takes into account its reception capacity, the Member State may provide for a waiting period of no more than three years between submission of the application for family reunification and the issue of a residence permit to the family members.","Abweichend davon kann ein Mitgliedstaat, dessen bei Annahme der Richtlinie geltendes nationales Recht im Bereich der Familienzusammenführung die Aufnahmefähigkeit dieses Mitgliedstaats berücksichtigt, eine Wartefrist von höchstens drei Jahren, zwischen der Stellung eines Antrags auf Familienzusammenführung und der Ausstellung eines Aufenthaltstitels an Familienangehörige, vorsehen.","adoption, state, member, residence, permit, issue, legislation, family, capacity, account",0.003519816815769827,0.03,0.928630530834198,state
"In the case of a measure in the form of a grant or loan, it is normally obvious which enterprise is potentially the beneficiary for the purpose of assessing whether State aid is involved.","Bei der Vergabe eines Zuschusses oder eines Kredites ist bei der Prüfung, ob es sich um eine staatliche Beihilfe handelt, in der Regel klar, welches Unternehmen durch die betreffende Maßnahme begünstigt würde.","beneficiary, state, grant, case, loan",0.006787181501568368,0.041666666666666664,0.9518918991088867,state
