source,target,legal_entity,BLEU,METEOR,COMET,term
a major step in the development of aviation; or,als wichtiger Schritt in der Entwicklung der Luftfahrt oder,aviation,0.021105340631872645,0.05494505494505494,0.9812715649604797,aviation
AIRCRAFT FLIGHT OPERATIONS,FLUGBETRIEB,flight,0.0,0.0,0.9801040887832642,aviation
"Communication systems shall support the implementation of advanced, agreed and validated concepts of operation for all phases of flight.","Kommunikationssysteme haben die Einführung fortgeschrittener, vereinbarter und validierter Betriebskonzepte für alle Flugphasen zu unterstützen.",flight,0.010862721615727716,0.09090909090909093,0.9617783427238464,aviation
"Passengers who, after a short stop, continue their journey on the same aircraft on a flight having the same flight number as the flight on which they arrive.","Fluggäste, die nach einer kurzen Zwischenlandung ihre Reise mit demselben Flugzeug und einem Flug mit derselben Flugnummer wie der des Flugs, mit dem sie angekommen sind, fortsetzen.",flight,0.007939087147543497,0.04838709677419355,0.9218593239784241,aviation
concerning the supply of air services on one or more routes to and from the Community which cause injury to the Community industry.,"bezüglich der Erbringung von Flugverkehrsdiensten auf einer oder mehreren Strecken nach und von der Gemeinschaft, die eine Schädigung des Wirtschaftszweigs der Gemeinschaft bewirken.","injury, cause",0.007590303354246224,0.020080321285140562,0.9222415089607239,aviation
"aircraft in service, during turn-around, or transit stops, shall be subjected to an ""aircraft security check"" immediately after passenger disembarkation or as late as possible before passenger boarding and baggage/cargo loading as appropriate.","Luftfahrzeuge, die in Dienst sind, sind während der Standzeit vor dem Rückflug oder bei Zwischenlandungen einer ""Luftfahrzeug-Sicherheitskontrolle"" zu unterziehen, und zwar je nachdem unmittelbar nach dem Aussteigen der Fluggäste oder so kurz wie möglich vor dem Anbordgehen der Fluggäste und dem Verladen des Gepäcks/der Fracht.","check, passenger, security, service",0.005672928782879189,0.07028112449799197,0.9097598195075989,check
"S"" check that a sketch and/or diagram has been attached.","Nachprüfen, ob eine Skizze und/oder ein Schema vorhanden ist .","check, attached",0.017033186037639283,0.04504504504504504,0.9651051163673401,check
"In addition to the above, workshops shall be required to be successfully authenticated through a PIN check.",Zusätzlich ist auch eine erfolgreiche Authentisierung der Werkstätten mittels PIN-Prüfung erforderlich.,check,0.010182425646195498,0.03937007874015748,0.9613609910011292,check
"block the PIN check procedure such that any subsequent PIN check attempt will fail,","Sperren des PIN-Prüfverfahrens, so dass jeder nachfolgende Versuch der PIN-Prüfung fehlschlägt,","will, check, attempt, procedure",0.013217947626377298,0.03787878787878788,0.9620354175567627,check
"Where a customs office of export accepts fewer than 20 export declarations per sector per year, at least one export declaration per sector per year must be subjected to a physical check.","Nimmt eine Ausfuhrzollstelle jährlich weniger als zwanzig Ausfuhranmeldungen je Sektor an, so muss mindestens eine Ausfuhranmeldung je Sektor einer Warenkontrolle unterzogen werden.","check, declaration",0.006510755202591488,0.04,0.9452002644538879,check
