source,target,legal_entity,BLEU,METEOR,COMET,term
Interested parties were informed of the essential facts and considerations on the basis of which the Council intended to extend the definitive anti-dumping duty in force and were given the opportunity to comment and to be heard.,"Die interessierten Parteien wurden über die wesentlichen Tatsachen und Erwägungen unterrichtet, auf deren Grundlage der Rat den endgültigen Antidumpingzoll auszuweiten beabsichtigte, und erhielten Gelegenheit, Stellung zu nehmen und gehört zu werden.","comment, duty",0.0048742862874500996,0.014164305949008497,0.9352126121520996,comment
The Commission shall base its decisions only on objections on which the parties concerned have been able to comment.,"Die Kommission stützt ihre Entscheidung nur auf die Beschwerdepunkte, zu denen sich die Parteien äußern konnten.","comment, commission",0.009629943614188135,0.02747252747252747,0.962902843952179,comment
REMARKS,Bemerkungen ...,,0.0,0.0,0.9839617609977722,comment
Title,Titel,title,0.0,0.0,0.9891513586044312,comment
PART V,TEIL V,,0.1495348781221221,0.25,0.9878564476966858,comment
"Member States shall take appropriate measures, in accordance with national law, to protect coordinators with regard to claims for damages relating to their functions under this Regulation, save in cases of gross negligence or wilful misconduct.""","Die Mitgliedstaaten ergreifen gemäß ihren innerstaatlichen Rechtsvorschriften geeignete Maßnahmen, um die Koordinatoren — außer bei grober Fahrlässigkeit und Vorsatz — in Bezug auf Schadensersatzansprüche im Zusammenhang mit ihren Aufgaben im Rahmen dieser Verordnung zu schützen.""","regulation, member, negligence, misconduct, law, claims, damages",0.011326402345230238,0.08240861618798956,0.952434241771698,duty
torture or inhuman or degrading treatment or punishment of an applicant in the country of origin; or,Folter oder unmenschliche oder erniedrigende Behandlung oder Bestrafung eines Antragstellers im Herkunftsland oder,torture,0.0,0.0,0.9615293741226196,duty
Member States shall take all necessary measures to ensure that any promotion and publicity activities in support of the donation of human tissues and cells comply with guidelines or legislative provisions laid down by the Member States.,"Die Mitgliedstaaten treffen alle erforderlichen Maßnahmen, um sicherzustellen, dass jede Werbung und sonstige Maßnahmen zur Förderung von Spenden menschlicher Gewebe und Zellen im Einklang mit den von den Mitgliedstaaten festgelegten Leitlinien oder Rechtsvorschriften stehen.","member, publicity, donation",0.0048742862874500996,0.026954177897574125,0.9400601983070374,duty
"In comparison with domestic trade in, and competition between, products incorporating a design, trade and competition within the Community are prevented and distorted by the large number of applications, offices, procedures, laws, nationally circumscribed exclusive rights and the combined administrative expense with correspondingly high costs and fees for the applicant.","Im Vergleich zum innerstaatlichen Handel und Wettbewerb mit Erzeugnissen, in denen ein Muster Verwendung findet, werden nämlich der innergemeinschaftliche Handel und Wettbewerb durch eine große Zahl von Anmeldungen, Behörden, Verfahren, Gesetzen, einzelstaatlich begrenzten ausschließlichen Rechten, sowie den Verwaltungsaufwand mit entsprechend hohen Kosten und Gebühren für den Anmelder verhindert und verzerrt.","expense, rights, costs",0.00545251960662473,0.07758620689655173,0.9002735614776611,duty
appropriations are available.,der Verfügbarkeit der Mittel.,,0.06257106818159155,0.10204081632653061,0.9789823293685913,duty
