source,target,legal_entity,BLEU,METEOR,COMET,term
"Lawyers duly authorised to act may supply the information on behalf of their clients, in which case the client shall remain fully responsible if the information supplied is incomplete, incorrect or misleading.","Ordnungsgemäß bevollmächtigte Rechtsanwälte können die Auskünfte im Auftrag ihrer Mandanten erteilen, wobei die Mandanten in vollem Umfang haften, falls die erteilten Auskünfte unvollständig, unrichtig oder irreführend sind.","information, responsible, case, act",0.007511251053510192,0.06369426751592357,0.9487583041191101,act
the designation of authorities to act as mediators in disputes between authorities responsible for issuing authorisations and applicants for authorisations.,"Benennung von Stellen, die bei Streitigkeiten zwischen Genehmigungsbehörden und Antragstellern als Vermittler fungieren.","responsible, act",0.009134423666564471,0.03205128205128205,0.9605858325958252,act
"Having regard to the Act of Accession of the Czech Republic, Estonia, Cyprus, Latvia, Lithuania, Hungary, Malta, Poland, Slovenia and Slovakia, and in particular the second subparagraph of Article 41 thereof,","gestützt auf die Akte über den Beitritt der Tschechischen Republik, Estlands, Zyperns, Lettlands, Litauens, Ungarns, Maltas, Polens, Sloweniens und der Slowakei, insbesondere auf Artikel 41 Absatz 2,","article, act, accession",0.008202101859611701,0.22801544860368386,0.9461871385574341,act
"Having regard to the Act of Accession of the Czech Republic, Estonia, Cyprus, Latvia, Lithuania, Hungary, Malta, Poland, Slovenia and Slovakia, and in particular Article 57(2) thereof,","gestützt auf die Akte über den Beitritt der Tschechischen Republik, Estlands, Zyperns, Lettlands, Litauens, Ungarns, Maltas, Polens, Sloweniens und der Slowakei, insbesondere auf Artikel 57 Absatz 2,","article, act, accession",0.008600383785890304,0.2429525516759998,0.9468600153923035,act
"Sections 30A(5), 40, 41 and 68 of the Contributions and Benefits (Northern Ireland) Act 1992.","Artikel 30A Absatz 5 sowie Artikel 40, 41 und 68 des Gesetzes über die Beiträge und Leistungen (Nordirland) 1992.",act,0.0612957497932821,0.3602173913043478,0.967170774936676,act
require the payment of a fee or charge for each submission of a dossier;,sie erheben eine Gebühr oder einen Kostenbeitrag für jeden Antrag;,"charge, fee",0.013217947626377298,0.043859649122807015,0.9799601435661316,charge
"total charged, fare, calculation of the fare, supplement charge, date, start time, finish time, distance travelled;","in Rechnung gestellte Gesamtsumme, Fahrpreis, Berechnung des Fahrpreises, Zuschlag, Datum, Fahrtbeginn, Fahrtende, zurückgelegte Strecke;",charge,0.013308442527111018,0.18018018018018017,0.9478387236595154,charge
Whereas the concepts of chargeable event and of the charge to tax must be harmonized if the introduction and any subsequent alterations of the Community rate are to become operative at the same time in all Member States;,"Die Begriffsbestimmungen des Steuertatbestands und des Steueranspruchs müssen harmonisiert werden, damit die Anwendung und die späteren Änderungen des gemeinschaftlichen Satzes in allen Mitgliedstaaten zum gleichen Zeitpunkt wirksam werden.","member, tax, charge",0.004744188024111083,0.016181229773462782,0.942037045955658,charge
"If the export charge collected by the exporting country is less than the duty reduction applied under Article 6, the reduction shall be restricted to the amount collected.","Liegt der Betrag der vom Ausfuhrland erhobenen Ausfuhrabgabe unter der Verringerung, die sich aus der Anwendung von Artikel 6 ergibt, so ist die Zollverringerung auf den erhobenen Betrag begrenzt.","article, charge, duty",0.007688065702789282,0.04716981132075472,0.9510954022407532,charge
Any manufacturer requesting interoperability tests shall commit to leave to the laboratory in charge of these tests the entire set of material and documents which he provided to carry out the tests.,"Jeder Hersteller, der Interoperabilitätsprüfungen beantragt, verpflichtet sich, der damit beauftragten Prüfstelle sämtliche Materialien und Dokumente zu überlassen, die er für die Durchführung der Prüfungen bereitgestellt hat.","material, charge, set",0.005648892151960285,0.016025641025641024,0.9462712407112122,charge
The distinction between a global commitment and an individual commitment depends on the extent to which the beneficiaries are identified and the amounts involved.,"Die Unterscheidung zwischen globaler Mittelbindung und Einzelmittelbindung bestimmt sich danach, inwieweit die Empfänger und die Beträge feststehen.",commitment,0.007575731225158965,0.05102040816326531,0.9574550986289978,commitment
"For the purposes of applying the first subparagraph to ""cooperative groups"", the competent authorities must take into account the public financial commitment of these groups with respect to other financial entities.",Für die Zwecke der Anwendung des Unterabsatzes 1 auf genossenschaftlich organisierte Unternehmensgruppen berücksichtigen die zuständigen Behörden die öffentlichen finanziellen Verpflichtungen dieser Gruppen gegenüber anderen Finanzunternehmen.,"commitment, cooperative, public, competent, account",0.005311256555131655,0.01858736059479554,0.9563664197921753,commitment
GOODS LISTED IN ARTICLE 30 WHICH ARE CONTAINED IN A SMALL CONSIGNMENT OF A NON-COMMERCIAL NATURE IN AMOUNTS EXCEEDING THOSE LAID DOWN IN THAT ARTICLE SHALL BE ENTIRELY EXCLUDED FROM DUTY-FREE ADMISSION.,"IN ARTIKEL 30 GENANNTE WAREN , DIE IN EINER KLEINSENDUNG NICHTKOMMERZIELLER ART IN GRÖßEREN ALS DEN IN ARTIKEL 30 FESTGELEGTEN MENGEN ENTHALTEN SIND , SIND VON DER BEFREIUNG VOLLSTÄNDIG AUSGESCHLOSSEN.","admission, listed, article, consignment, goods, duty",0.008840994001530048,0.09615384615384617,0.9249600768089294,commitment
where the commitments are provisional;,wenn es sich um vorläufige Mittelbindungen handelt;,,0.02925226826055808,0.06410256410256411,0.9796983599662781,commitment
the nature of the commitments which the assurance undertaking proposes to cover;,"der Art der Verpflichtungen, die das Versicherungsunternehmen eingehen will;",,0.01553712569276035,0.044642857142857144,0.9767059683799744,commitment
