source,target,translation,reference,sample_size,bleu,meteor,comet
"Conditions for the use of blood products, bloodmeal and feedingstuffs containing such proteins of non-ruminant origin in the feeding of farmed fish:","Bedingungen für die Verwendung von Blutprodukten und Blutmehl und von Futtermitteln, die solche von Nichtwiederkäuern gewonnene Proteine enthalten, in der Verfütterung an Zuchtfische:","Bedingungen für die Verwendung von Blutprodukten, Blutmehl und Futtermitteln, die solche Proteine nichtwiederkäuerischer Herkunft in der Fütterung von gezüchteten Fischen enthalten:","Bedingungen für die Verwendung von Blutprodukten und Blutmehl und von Futtermitteln, die solche von Nichtwiederkäuern gewonnene Proteine enthalten, in der Verfütterung an Zuchtfische:",50,0.33643776599264835,0.6184908415469518,0.6673628687858582
"Information, stored in a vehicle unit, related to its last download (requirement 105).",In einer Fahrzeugeinheit gespeicherte Information zu ihrem letzten Herunterladen (Randnummer 105).,"Information, die in einer Fahrzeugeinheit gespeichert sind, im Zusammenhang mit ihrem letzten Download (Anforderung 105).",In einer Fahrzeugeinheit gespeicherte Information zu ihrem letzten Herunterladen (Randnummer 105).,50,3.289634954129118e-78,0.7180459639986415,0.17522770166397095
"The certificate shall be accompanied by an identification of the actual disclosure of the product, duly certified by that authority.",Der Bescheinigung ist eine von der genannten Stelle beglaubigte Darstellung über die tatsächliche Offenbarung des Erzeugnisses beizufügen.,"Das Zertifikat ist von einer Identifizierung der tatsächlichen Offenlegung des Produkts begleitet, die ordnungsgemäß von dieser Behörde beglaubigt ist.",Der Bescheinigung ist eine von der genannten Stelle beglaubigte Darstellung über die tatsächliche Offenbarung des Erzeugnisses beizufügen.,50,1.331960397810445e-231,0.19125683060109291,0.40055370330810547
"""Auxiliary washing preparation"", intended for soaking (pre-washing), rinsing or bleaching clothes, household linen, etc.;","""Waschhilfsmittel"" zum Einweichen (Vorwaschen), Spülen oder Bleichen von Kleidungsstücken, Haushaltswäsche usw.;","""Hilfswaschzubereitung"", die zum Einweichen (Vorwäsche), Spülen oder Bleichen von Kleidung, Haushaltswäsche usw. bestimmt ist;","""Waschhilfsmittel"" zum Einweichen (Vorwaschen), Spülen oder Bleichen von Kleidungsstücken, Haushaltswäsche usw.;",50,0.38103910787230955,0.8029961340206186,0.45246416330337524
"""Community waters"" means the waters under the sovereignty or jurisdiction of the Member States with the exception of waters adjacent to the territories mentioned in Annex II to the Treaty;","""Gemeinschaftsgewässer"": die Gewässer unter der Hoheit oder der Gerichtsbarkeit der Mitgliedstaaten mit Ausnahme der Gewässer um die in Anhang II des Vertrags genannten Gebiete;","""Community-Gewässer"" bezeichnet die Gewässer unter der Souveränität oder Gerichtsbarkeit der Mitgliedstaaten mit Ausnahme der Gewässer, die an die in Anhang II des Vertrags genannten Gebiete angrenzen;","""Gemeinschaftsgewässer"": die Gewässer unter der Hoheit oder der Gerichtsbarkeit der Mitgliedstaaten mit Ausnahme der Gewässer um die in Anhang II des Vertrags genannten Gebiete;",50,0.5193229682801838,0.7911689391197093,0.36797094345092773
Tax assets and tax liabilities should be presented separately from other assets and liabilities in the balance sheet.,Steueransprüche und Steuerschulden sind getrennt von anderen Vermögenswerten und Schulden in der Bilanz darzustellen.,Steuerlatenzen und Steuerschulden sollten in der Bilanz getrennt von anderen Vermögenswerten und Schulden dargestellt werden.,Steueransprüche und Steuerschulden sind getrennt von anderen Vermögenswerten und Schulden in der Bilanz darzustellen.,50,0.4261082723917018,0.7799852832965417,0.7543878555297852
"""The technical and security features for the visa sticker format are contained in, or adopted on the basis of, Council Regulation (EC) No 1683/95 of 29 May 1995 laying down a uniform format for visas(8), as last amended by Regulation (EC) No 334/2002(9).""","""Die technischen Merkmale und die Sicherheitsmerkmale für die Aufkleber der Visummarken finden sich in der Verordnung (EG) Nr. 1683/95 des Rates vom 29. Mai 1995 über eine einheitliche Visumgestaltung(8) in der Fassung der Verordnung (EG) Nr. 334/2002(9) oder werden auf der Grundlage jener Verordnung erlassen.""","Die technischen und sicherheitsrelevanten Merkmale für das Format des Visum-Aufklebers sind in der Verordnung (EG) Nr. 1683/95 des Rates vom 29. Mai 1995 zur Festlegung eines einheitlichen Visumformat (8) enthalten oder auf seiner Grundlage angenommen, zuletzt geändert durch die Verordnung (EG) Nr. 334/2002 (9).","""Die technischen Merkmale und die Sicherheitsmerkmale für die Aufkleber der Visummarken finden sich in der Verordnung (EG) Nr. 1683/95 des Rates vom 29. Mai 1995 über eine einheitliche Visumgestaltung(8) in der Fassung der Verordnung (EG) Nr. 334/2002(9) oder werden auf der Grundlage jener Verordnung erlassen.""",50,0.4432154713915884,0.6299917491749175,0.501851499080658
Additional provisions,Zusatzbestimmungen,Weitere Bestimmungen,Zusatzbestimmungen,50,0.0,0.0,0.7017964720726013
Consolidated financial statements,Konzernabschlüsse,Konsolidierte Finanzberichte,Konzernabschlüsse,50,0.0,0.0,-0.25508326292037964
"six months, if there has.""","Die Richtlinie 72/461/EWG wird mit Wirkung vom 1. November 1980 wie folgt geändert: a) In Artikel 3 Buchstaben b) und c) wird zwischen die Worte ""Schweinepest"" und ""oder Schweinelähmung"" der Begriff ""vesikuläre Schweinekrankheit"" eingefügt.","sechs Monate, wenn es sie gibt.","Die Richtlinie 72/461/EWG wird mit Wirkung vom 1. November 1980 wie folgt geändert: a) In Artikel 3 Buchstaben b) und c) wird zwischen die Worte ""Schweinepest"" und ""oder Schweinelähmung"" der Begriff ""vesikuläre Schweinekrankheit"" eingefügt.",50,9.372102674038548e-234,0.011848341232227487,-2.170971393585205
The authorising officer shall conserve the supporting documents relating to operations carried out for a period of five years from the date of the decision granting discharge in respect of implementation of the budget.,"Der Anweisungsbefugte bewahrt die Nachweise für die abgewickelten Vorgänge während eines Zeitraums von fünf Jahren auf, gerechnet vom Datum des Beschlusses über die Entlastung zur Ausführung des Haushaltsplans.","Der zuständige Beauftragte hat die Unterlagen, die sich auf die durchgeführten Operationen beziehen, für einen Zeitraum von fünf Jahren ab dem Datum der Entscheidung über die Entlastung hinsichtlich der Haushaltsausführung aufzubewahren.","Der Anweisungsbefugte bewahrt die Nachweise für die abgewickelten Vorgänge während eines Zeitraums von fünf Jahren auf, gerechnet vom Datum des Beschlusses über die Entlastung zur Ausführung des Haushaltsplans.",50,2.88638929201435e-78,0.4203216374269006,0.4802815318107605
"the original reference was to Article 85(3) of the Treaty) of the Treaty to certain categories of agreements and concerted practices in the air transport sector (OJ L 374, 31.12.1987, p. 9).","ursprünglich wurde auf Artikel 85 Absatz 3 Bezug genommen.) des Vertrags auf bestimmte Gruppen von Vereinbarungen und aufeinander abgestimmten Verhaltensweisen im Luftverkehr (ABl. L 374 vom 31.12.1987, S. 9).","Der ursprüngliche Verweis bezog sich auf Artikel 85 Absatz 3 des Vertrags) des Vertrags zu bestimmten Kategorien von Vereinbarungen und abgestimmten Verhaltensweisen im Luftverkehrssektor (ABl. L 374, 31.12.1987, S. 9).","ursprünglich wurde auf Artikel 85 Absatz 3 Bezug genommen.) des Vertrags auf bestimmte Gruppen von Vereinbarungen und aufeinander abgestimmten Verhaltensweisen im Luftverkehr (ABl. L 374 vom 31.12.1987, S. 9).",50,0.4063693590236146,0.7097313511121308,0.7321836352348328
Galicia,Galicia,Galizien,Galicia,50,0.0,0.0,-0.48177570104599
Member States may decide to update the general control plan by more detailed periodic plans.,"Die Mitgliedstaaten können beschließen, den allgemeinen Kontrollplan durch detailliertere Pläne für bestimmte Zeiträume zu aktualisieren.","Die Mitgliedstaaten können beschließen, den allgemeinen Kontrollplan durch detailliertere periodische Pläne zu aktualisieren.","Die Mitgliedstaaten können beschließen, den allgemeinen Kontrollplan durch detailliertere Pläne für bestimmte Zeiträume zu aktualisieren.",50,0.6456147046129794,0.8292334791059279,0.7664523720741272
advise the Commission on research in the area of network and information security as well as on the effective use of risk prevention technologies;,Beratung der Kommission in Bezug auf Forschungsarbeiten im Bereich der Netz- und Informationssicherheit sowie hinsichtlich des effizienten Einsatzes von Technologien zur Risikovermeidung;,Die Kommission in Fragen der Forschung auf dem Gebiet der Netz- und Informationssicherheit sowie der wirksamen Nutzung von Technologien zur Risikoprävention beraten;,Beratung der Kommission in Bezug auf Forschungsarbeiten im Bereich der Netz- und Informationssicherheit sowie hinsichtlich des effizienten Einsatzes von Technologien zur Risikovermeidung;,50,0.24192619393259782,0.521095960895292,0.6545092463493347
"There could, however, be situations when a ship may pose a threat to the port facility, e.g. because, once within the port facility, it could be used as a base from which to launch an attack.","Dennoch sind Situationen vorstellbar, in denen ein Schiff eine Bedrohung für die Hafenanlage darstellen kann, beispielsweise, wenn es innerhalb der Hafenanlage als Basis benutzt wird, von der aus ein Angriff gestartet wird.","Es könnten jedoch Situationen eintreten, in denen ein Schiff eine Bedrohung für die Hafenanlage darstellen könnte, z. B. weil es, sobald es sich innerhalb der Hafenanlage befindet, als Basis für den Start eines Angriffs verwendet werden könnte.","Dennoch sind Situationen vorstellbar, in denen ein Schiff eine Bedrohung für die Hafenanlage darstellen kann, beispielsweise, wenn es innerhalb der Hafenanlage als Basis benutzt wird, von der aus ein Angriff gestartet wird.",50,0.29646512126357116,0.5248734855200945,0.7336822152137756
"Failing a reply, the institution concerned may proceed with the planned operation under its administrative autonomy, subject to Article 282 of the EC Treaty and Article 185 of the Euratom Treaty with regard to Community representation.","Erfolgt keine Antwort, so kann das betreffende Organ die in Aussicht genommene Transaktion im Rahmen seiner Verwaltungsautonomie durchführen, und zwar vorbehaltlich des Artikels 282 EG-Vertrag und des Artikels 185 EAG-Vertrag hinsichtlich der Vertretung der Gemeinschaft.","Gibt es auf eine Anfrage keine Antwort, so kann die betreffende Einrichtung unter Beachtung der Artikel 282 des EG-Vertrags und 185 des Euratom-Vertrags in Bezug auf die Vertretung der Gemeinschaft das geplante Verfahren unter ihrem administrativen Autonomie ausführen.","Erfolgt keine Antwort, so kann das betreffende Organ die in Aussicht genommene Transaktion im Rahmen seiner Verwaltungsautonomie durchführen, und zwar vorbehaltlich des Artikels 282 EG-Vertrag und des Artikels 185 EAG-Vertrag hinsichtlich der Vertretung der Gemeinschaft.",50,0.14279770571390368,0.4281677767092877,0.2937304377555847
the currency of tenders;,Währung des Angebots;,Die Währung der Angebote; ,Währung des Angebots;,50,1.4488496539373276e-231,0.6233062330623306,0.8069465756416321
"2009 for ships delivered in 1983,","2009 bei Schiffen, die 1983 abgeliefert wurden,","2009 für Schiffe, die 1983 geliefert wurden,","2009 bei Schiffen, die 1983 abgeliefert wurden,",50,5.30941411456236e-78,0.625,0.7710274457931519
the benefit deriving from an interest subsidy on certain loans;,die mit der Zinsvergütung für bestimmte Darlehen verbundene Vergünstigung;,"der Vorteil, der aus einer Zinssubvention für bestimmte Darlehen erwächst;",die mit der Zinsvergütung für bestimmte Darlehen verbundene Vergünstigung;,50,3.603235312613151e-78,0.43725490196078437,0.28212499618530273
