source,target,translation,reference,sample_size,bleu,meteor,comet
"Conditions for the use of blood products, bloodmeal and feedingstuffs containing such proteins of non-ruminant origin in the feeding of farmed fish:","Bedingungen für die Verwendung von Blutprodukten und Blutmehl und von Futtermitteln, die solche von Nichtwiederkäuern gewonnene Proteine enthalten, in der Verfütterung an Zuchtfische:","Bedingungen für die Verwendung von Blutprodukten, Blutmehl und Futtermitteln, die solche Proteine nicht-wiederkäuender Herkunft in der Fütterung von gezüchteten Fischen:","Bedingungen für die Verwendung von Blutprodukten und Blutmehl und von Futtermitteln, die solche von Nichtwiederkäuern gewonnene Proteine enthalten, in der Verfütterung an Zuchtfische:",30,0.3314163107658139,0.5966277561608301,0.26452362537384033
"Information, stored in a vehicle unit, related to its last download (requirement 105).",In einer Fahrzeugeinheit gespeicherte Information zu ihrem letzten Herunterladen (Randnummer 105).,"Information, die in einer Fahrzeugeinheit gespeichert sind, im Zusammenhang mit ihrem letzten Download (Anforderung 105).",In einer Fahrzeugeinheit gespeicherte Information zu ihrem letzten Herunterladen (Randnummer 105).,30,3.289634954129118e-78,0.7180459639986415,0.17522770166397095
"The certificate shall be accompanied by an identification of the actual disclosure of the product, duly certified by that authority.",Der Bescheinigung ist eine von der genannten Stelle beglaubigte Darstellung über die tatsächliche Offenbarung des Erzeugnisses beizufügen.,"Das Zertifikat ist von einer Identifizierung der tatsächlichen Offenlegung des Produkts zu begleiten, die ordnungsgemäß von dieser Behörde zertifiziert wurde.",Der Bescheinigung ist eine von der genannten Stelle beglaubigte Darstellung über die tatsächliche Offenbarung des Erzeugnisses beizufügen.,30,1.3165594234639305e-231,0.16304347826086954,0.12445276230573654
"""Auxiliary washing preparation"", intended for soaking (pre-washing), rinsing or bleaching clothes, household linen, etc.;","""Waschhilfsmittel"" zum Einweichen (Vorwaschen), Spülen oder Bleichen von Kleidungsstücken, Haushaltswäsche usw.;","""Hilfswaschzubereitung"", zum Einweichen (Vorwäsche), Spülen oder Bleichen von Kleidung, Haushaltswäsche usw.;","""Waschhilfsmittel"" zum Einweichen (Vorwaschen), Spülen oder Bleichen von Kleidungsstücken, Haushaltswäsche usw.;",30,0.49604024006723946,0.8249141034031413,0.5484897494316101
"""Community waters"" means the waters under the sovereignty or jurisdiction of the Member States with the exception of waters adjacent to the territories mentioned in Annex II to the Treaty;","""Gemeinschaftsgewässer"": die Gewässer unter der Hoheit oder der Gerichtsbarkeit der Mitgliedstaaten mit Ausnahme der Gewässer um die in Anhang II des Vertrags genannten Gebiete;","""Gemeinschaftgewässer"" bezeichnet die Gewässer unter der Hoheitsgewalt oder Gerichtsbarkeit der Mitgliedstaaten mit Ausnahme der Gewässer, die an die in Anhang II des Vertrags genannten Gebiete angrenzen;","""Gemeinschaftsgewässer"": die Gewässer unter der Hoheit oder der Gerichtsbarkeit der Mitgliedstaaten mit Ausnahme der Gewässer um die in Anhang II des Vertrags genannten Gebiete;",30,0.5193229682801838,0.7911689391197093,0.7644302248954773
Tax assets and tax liabilities should be presented separately from other assets and liabilities in the balance sheet.,Steueransprüche und Steuerschulden sind getrennt von anderen Vermögenswerten und Schulden in der Bilanz darzustellen.,Steuerforderungen und Steuerschulden sollten in der Bilanz getrennt von anderen Vermögenswerten und Schulden ausgewiesen werden.,Steueransprüche und Steuerschulden sind getrennt von anderen Vermögenswerten und Schulden in der Bilanz darzustellen.,30,0.4261082723917018,0.7799852832965417,0.7633277177810669
"""The technical and security features for the visa sticker format are contained in, or adopted on the basis of, Council Regulation (EC) No 1683/95 of 29 May 1995 laying down a uniform format for visas(8), as last amended by Regulation (EC) No 334/2002(9).""","""Die technischen Merkmale und die Sicherheitsmerkmale für die Aufkleber der Visummarken finden sich in der Verordnung (EG) Nr. 1683/95 des Rates vom 29. Mai 1995 über eine einheitliche Visumgestaltung(8) in der Fassung der Verordnung (EG) Nr. 334/2002(9) oder werden auf der Grundlage jener Verordnung erlassen.""","Die technischen und sicherheitsrelevanten Merkmale für das Visumetikettformat sind in der Verordnung (EG) Nr. 1683/95 des Rates vom 29. Mai 1995 zur Festlegung eines einheitlichen Visumformat (8) enthalten oder aufgrund dieser Verordnung angenommen, zuletzt geändert durch die Verordnung (EG) Nr. 334/2002 (9).","""Die technischen Merkmale und die Sicherheitsmerkmale für die Aufkleber der Visummarken finden sich in der Verordnung (EG) Nr. 1683/95 des Rates vom 29. Mai 1995 über eine einheitliche Visumgestaltung(8) in der Fassung der Verordnung (EG) Nr. 334/2002(9) oder werden auf der Grundlage jener Verordnung erlassen.""",30,0.4393795124690929,0.6234026063368907,0.4263542890548706
Additional provisions,Zusatzbestimmungen,Weitere Bestimmungen,Zusatzbestimmungen,30,0.0,0.0,0.7017964720726013
Consolidated financial statements,Konzernabschlüsse,Konsolidierte Finanzberichte,Konzernabschlüsse,30,0.0,0.0,-0.25508326292037964
"six months, if there has.""","Die Richtlinie 72/461/EWG wird mit Wirkung vom 1. November 1980 wie folgt geändert: a) In Artikel 3 Buchstaben b) und c) wird zwischen die Worte ""Schweinepest"" und ""oder Schweinelähmung"" der Begriff ""vesikuläre Schweinekrankheit"" eingefügt.","sechs Monate, wenn es diese gibt.","Die Richtlinie 72/461/EWG wird mit Wirkung vom 1. November 1980 wie folgt geändert: a) In Artikel 3 Buchstaben b) und c) wird zwischen die Worte ""Schweinepest"" und ""oder Schweinelähmung"" der Begriff ""vesikuläre Schweinekrankheit"" eingefügt.",30,9.372102674038548e-234,0.023696682464454975,-1.9814229011535645
