source,target,language_pair,legal_category,translation,reference,bleu,meteor,comet
"Long-term contracts will continue to be an important part of the gas supply of Member States and should be maintained as an option for gas supply undertakings in so far as they do not undermine the objectives of this Directive and are compatible with the Treaty, including competition rules.","Ein großer Teil der Gasversorgung der Mitgliedstaaten wird nach wie vor durch langfristige Verträge gesichert werden, weshalb diese als Möglichkeit für die Gasversorgungsunternehmen erhalten bleiben sollten, sofern sie die Ziele dieser Richtlinie nicht unterlaufen und mit dem Vertrag, einschließlich der darin festgelegten Wettbewerbsregeln, vereinbar sind.",en-de,Family Law & Estates/Trusts,"Langfristige Verträge werden auch weiterhin ein wichtiger Teil der Gasversorgung der Mitgliedstaaten sein und sollten als Option für Gasversorgungsunternehmen beibehalten werden, soweit sie nicht die Ziele dieser Richtlinie untergraben und mit dem Vertrag, einschließlich der Wettbewerbsregeln, vereinbar sind.

Note: I've tried to maintain the formal and technical tone of the original text in the translation. 

Alternatively, a more official translation would be:
 Langfristige Verträge werden auch in Zukunft ein wichtiger Bestandteil der Gasversorgung der Mitgliedstaaten bleiben und sollten als Option für Gasversorgungsunternehmen erhalten bleiben, soweit sie die Ziele dieser Richtlinie nicht beeinträchtigen und mit dem Vertrag, einschließlich der Wettbewerbsvorschriften, im Einklang stehen.

This version uses more formal language and is closer to the style used in official EU documents.","Ein großer Teil der Gasversorgung der Mitgliedstaaten wird nach wie vor durch langfristige Verträge gesichert werden, weshalb diese als Möglichkeit für die Gasversorgungsunternehmen erhalten bleiben sollten, sofern sie die Ziele dieser Richtlinie nicht unterlaufen und mit dem Vertrag, einschließlich der darin festgelegten Wettbewerbsregeln, vereinbar sind.",0.14485834242747972,0.5789022298456261,[0.6673650145530701]
The machine-readable area will contain a printed text indicating exclusively the Member State concerned.,"Diese Zone soll Druckzeichen enthalten, mit denen ausschließlich der jeweilige Mitgliedstaat angegeben wird.",en-de,Family Law & Estates/Trusts,"Der maschinenlesbare Bereich enthält einen gedruckten Text, der ausschließlich den betreffenden Mitgliedstaat anzeigt.

Alternativ kann auch folgende Übersetzung verwendet werden:

Der maschinenlesbare Bereich enthält einen Ausdruck, der nur den betreffenden Mitgliedstaat angibt.

Oder:

Der maschinenlesbare Bereich enthält einen Text, der ausschließlich den Mitgliedstaat angibt, um den es geht. 

Alle drei Übersetzungen sind korrekt, aber die erste ist am häufigsten verwendet.","Diese Zone soll Druckzeichen enthalten, mit denen ausschließlich der jeweilige Mitgliedstaat angegeben wird.",9.38504236614691e-232,0.12135922330097088,[0.6389672160148621]
It is concluded that the presence of pesticide residues at or below the MRLs proposed in this Directive will not cause acute toxic effects.,"Man kam zu der Schlussfolgerung, dass das Vorhandensein von Rückständen von Schädlingsbekämpfungsmitteln, die die in dieser Richtlinie vorgeschlagenen Rückstandshöchstgehalte nicht überschreiten, keine akuten toxischen Wirkungen haben wird.",en-de,Family Law & Estates/Trusts,"Es wird daraus gefolgert, dass das Vorhandensein von Pestizidrückständen auf oder unter den in dieser Richtlinie vorgeschlagenen Höchstgrenzen (MRLs) keine akuten toxischen Effekte verursachen wird.

Alternatively, a more formal and official translation would be:

Es wird festgestellt, dass das Vorhandensein von Pestizidrückständen bis zu den in dieser Richtlinie vorgeschlagenen Höchstgrenzen (MRL) keine akuten toxischen Wirkungen hervorrufen wird. 

Note: This translation is suitable for official documents, such as those used in the European Union.","Man kam zu der Schlussfolgerung, dass das Vorhandensein von Rückständen von Schädlingsbekämpfungsmitteln, die die in dieser Richtlinie vorgeschlagenen Rückstandshöchstgehalte nicht überschreiten, keine akuten toxischen Wirkungen haben wird.",0.10351597821418106,0.45497666299852,[0.6438658833503723]
"If, under the legislation of a Member State, the amount of benefits is determined taking into account the existence of members of the family other than children, the competent institution of that State shall also take into consideration the members of the family of the person concerned who are residing in the territory of the competent State.","Kommen nach den Rechtsvorschriften eines Mitgliedstaats bei der Festlegung des Leistungsbetrags nicht nur Kinder, sondern auch andere Familienangehörigen in Betracht, so berücksichtigt der zuständige Träger dieses Staates auch die Familienangehörigen von Berechtigten, die im Gebiet eines anderen Mitgliedstaats wohnen, als wohnten sie im Gebiet des zuständigen Staates.",en-de,Family Law & Estates/Trusts,"Wenn nach den Rechtsvorschriften eines Mitgliedstaats die Höhe der Leistungen unter Berücksichtigung der Existenz von Familienangehörigen other als Kindern bestimmt wird, berücksichtigt die zuständige Institution dieses Staates auch die Familienangehörigen der betroffenen Person, die in dem Hoheitsgebiet des zuständigen Staates wohnen.

 Alternativ kann auch eine etwas formalere Übersetzung verwendet werden:

 Wenn gemäß der Gesetzgebung eines Mitgliedstaats die Höhe der Leistungen unter Berücksichtigung des Bestehens von Familienangehörigen other als Kindern festgelegt wird, hat die zuständige Institution dieses Staates auch die Familienangehörigen der betreffenden Person zu berücksichtigen, die im Hoheitsgebiet des zuständigen Staates ihren Wohnsitz haben.","Kommen nach den Rechtsvorschriften eines Mitgliedstaats bei der Festlegung des Leistungsbetrags nicht nur Kinder, sondern auch andere Familienangehörigen in Betracht, so berücksichtigt der zuständige Träger dieses Staates auch die Familienangehörigen von Berechtigten, die im Gebiet eines anderen Mitgliedstaats wohnen, als wohnten sie im Gebiet des zuständigen Staates.",0.10663889347887982,0.4817870347507669,[0.759454607963562]
The card will not ask for an IFS readjustment.,Die Karte fordert keine IFS-Nachkorrektur an.,en-de,Family Law & Estates/Trusts,Die Karte wird keine IFS-Neueinstellung beantragen.,Die Karte fordert keine IFS-Nachkorrektur an.,8.286571670851008e-155,0.4508928571428571,[0.8119440674781799]
A common minimum set of powers for the competent authorities will guarantee the effectiveness of their supervision.,Ein allen zuständigen Behörden gemeinsames Maß an Mindestbefugnissen gewährleistet die Effizienz ihrer Aufsicht.,en-de,Family Law & Estates/Trusts,"Eine gemeinsame Mindestausstattung an Befugnissen für die zuständigen Behörden wird die Wirksamkeit ihrer Überwachung gewährleisten.

Alternatively, a more formal or official translation could be:

Ein gemeinsamer Mindeststandard an Zuständigkeiten für die zuständigen Behörden wird die Effektivität ihrer Aufsicht sicherstellen.",Ein allen zuständigen Behörden gemeinsames Maß an Mindestbefugnissen gewährleistet die Effizienz ihrer Aufsicht.,4.576387333302391e-155,0.40726130469720206,[0.7747040390968323]
"Any other information reported with respect to prior periods, such as historical summaries of financial data, is also restated.","Jede andere Information, die sich auf frühere Perioden bezieht, wie beispielsweise Zeitreihen von Kennzahlen, wird ebenfalls angepasst.",en-de,Family Law & Estates/Trusts,"Jede andere Information, die in Bezug auf frühere Zeiträume gemeldet wird, wie z.B. historische Zusammenfassungen von Finanzdaten, wird ebenfalls angepasst. 

Alternativ kann man auch die folgende Übersetzung verwenden:

 Alle anderen Angaben, die in bezug auf Vorperioden berichtet werden, wie zum Beispiel historische Zusammenfassungen von Finanzdaten, werden ebenfalls neu bewertet bzw. angepasst.

Oder 

 Jegliche weitere Informationen, die in Bezug auf vergangene Zeiträume gemeldet werden, wie historische Übersichten der Finanzdaten, werden ebenfalls restated, d.h. angepasst. 

Es hängt davon ab, welchen Kontext und welches Fachvokabular Sie verwenden möchten. Im Kontext der Finanzwirtschaft und Rechnungslegung werden Begriffe wie ""restated"" (angepasst), ""neu bewertet"" oder ""revidiert"" verwendet.","Jede andere Information, die sich auf frühere Perioden bezieht, wie beispielsweise Zeitreihen von Kennzahlen, wird ebenfalls angepasst.",0.060755015875877325,0.3181691125087352,[0.6807076334953308]
"I. Partner(s) of a group holding are natural persons owning, renting or otherwise managing together one agricultural holding or managing together their individual holdings as if they were one holding.","I. Gesellschafter in einem Gruppenbetrieb sind natürliche Personen, die einen landwirtschaftlichen Betrieb besitzen, gepachtet haben oder auf andere Weise gemeinsam führen oder die ihre einzelnen Betriebe gemeinsam so führen, als handele es sich um einen einzigen Betrieb.",en-de,Family Law & Estates/Trusts,"Ich. Partner(innen) einer Gruppenholding sind natürliche Personen, die gemeinsam einen landwirtschaftlichen Betrieb besitzen, pachten oder anderweitig verwalten oder ihre individuellen Betriebe gemeinsam verwalten, als wäre es ein Betrieb. 

Alternatively, a more formal translation could be:

 I. Partner(innen) einer Gruppenlandwirtschaftsbetriebsholding sind natürliche Personen, die gemeinsam einen landwirtschaftlichen Betrieb innehaben, pachten oder auf andere Weise verwalten oder ihre einzelnen Betriebe gemeinsam verwalten, als ob es sich um einen einzigen Betrieb handelte.","I. Gesellschafter in einem Gruppenbetrieb sind natürliche Personen, die einen landwirtschaftlichen Betrieb besitzen, gepachtet haben oder auf andere Weise gemeinsam führen oder die ihre einzelnen Betriebe gemeinsam so führen, als handele es sich um einen einzigen Betrieb.",0.19633548280684915,0.6311281676413256,[0.6504295468330383]
The Commission's assessment will take account of the regional specificity of any measure and will be subject to an overall test of proportionality.,Bei allen Maßnahmen wird die Kommission bei ihrer Prüfung auch regionale Besonderheiten berücksichtigen und den Test der Verhältnismäßigkeit anwenden.,en-de,Family Law & Estates/Trusts,"Die Bewertung der Kommission wird die regionale Spezifität jeder Maßnahme berücksichtigen und einem umfassenden Verhältnismäßigkeitsprüfung unterliegen.

Alternativ könnte man auch übersetzen:

Die Kommission wird bei ihrer Bewertung die regionale Besonderheit jeder Maßnahme berücksichtigen und eine Gesamtbetrachtung der Verhältnismäßigkeit vornehmen.

Oder:

Die Beurteilung der Kommission wird die spezifischen regionalen Gegebenheiten jeder Maßnahme einbeziehen und einer umfassenden Prüfung der Angemessenheit unterzogen.",Bei allen Maßnahmen wird die Kommission bei ihrer Prüfung auch regionale Besonderheiten berücksichtigen und den Test der Verhältnismäßigkeit anwenden.,5.026815213099073e-155,0.37139877776699975,[0.8045361042022705]
it is probable that future economic benefits associated with the asset will flow to the enterprise;,"es ist wahrscheinlich, dass dem Unternehmen ein mit dem Vermögenswert verbundener künftiger wirtschaftlicher Nutzen zufließen wird;",en-de,Family Law & Estates/Trusts,"Es ist wahrscheinlich, dass zukünftige wirtschaftliche Vorteile, die mit dem Vermögenswert verbunden sind, dem Unternehmen zufließen werden;

Alternatively, a more formal translation in the context of accounting and financial reporting could be:

Es ist wahrscheinlich, dass zukünftige ökonomische Nutzen, die mit dem Vermögenswert in Zusammenhang stehen, dem Unternehmen zugutekommen werden;

Note that the term ""asset"" is translated to ""Vermögenswert"", which is a common term used in German accounting and financial reporting.","es ist wahrscheinlich, dass dem Unternehmen ein mit dem Vermögenswert verbundener künftiger wirtschaftlicher Nutzen zufließen wird;",0.04484194677708279,0.40633645693886666,[0.5217326283454895]
