source,target,language_pair,legal_category,translation,reference,bleu,meteor,comet
"The steel market has also been unsettled by the uncertainty and hedging caused by the possibility of import restrictions on the US market following the US administration's ""Section 201"" safeguard investigation.","Der Stahlmarkt wird ferner durch Unsicherheit und vorgreifendes Verhalten im Zusammenhang mit Einfuhrbeschränkungen für den amerikanischen Markt beeinträchtigt, die nach Abschluss der von der amerikanischen Regierung durchgeführten Untersuchung nach der Schutzbestimmung ""Section 201"" eingeführt werden könnten.",en-de,Property & Real Estate Law,"Der Stahlmarkt ist auch durch die Unsicherheit und Absicherung, die durch die Möglichkeit von Einfuhrbeschränkungen auf dem US-Markt infolge der ""Section 201""-Sondermaßnahmen-Untersuchung der US-Regierung verursacht wurden, verstört worden.

Alternatively, you could also translate ""Section 201"" as ""Abschnitt 201"" or ""Artikel 201"", depending on the context and the desired level of formality. 

Here is a more formal translation:
 
Der Stahlmarkt wurde auch durch die Unsicherheit und Risikomanagementmaßnahmen in Verbindung mit der Möglichkeit von Einfuhrbeschränkungen auf dem US-Markt beeinträchtigt, die durch das Sondermaßnahmenverfahren nach Abschnitt 201 der US-Regierung ausgelöst wurden.","Der Stahlmarkt wird ferner durch Unsicherheit und vorgreifendes Verhalten im Zusammenhang mit Einfuhrbeschränkungen für den amerikanischen Markt beeinträchtigt, die nach Abschluss der von der amerikanischen Regierung durchgeführten Untersuchung nach der Schutzbestimmung ""Section 201"" eingeführt werden könnten.",0.043323236201053876,0.2973980686695279,[0.6001523733139038]
"The Member State may, however, require the person concerned to report his presence in the territory.","Der Mitgliedstaat kann allerdings von dem Betroffenen verlangen, daß er seine Anwesenheit im Hoheitsgebiet anzeigt.",en-de,Property & Real Estate Law,"Das Mitgliedstaat kann jedoch von der betroffenen Person verlangen, dass sie ihre Anwesenheit in seinem Hoheitsgebiet meldet.

Alternatively, a more formal translation would be:

Das Mitgliedstaat kann jedoch die betreffende Person verpflichten, ihre Anwesenheit in seinem Gebiet anzuzeigen.","Der Mitgliedstaat kann allerdings von dem Betroffenen verlangen, daß er seine Anwesenheit im Hoheitsgebiet anzeigt.",4.523472228592505e-155,0.3225888324873097,[0.8247489333152771]
Construction Contracts,Fertigungsaufträge,en-de,Property & Real Estate Law,"The translation of ""Construction Contracts"" to German is:

""Bauverträge""

This is the most common and accurate translation in the context of the construction industry.",Fertigungsaufträge,0.0,0.0,[0.4438026249408722]
the amount of benefit to be paid to the unemployed person under the legislation of the competent State;,"DEN LEISTUNGSBETRAG , DER DEM ARBEITSLOSEN NACH DEN RECHTSVORSCHRIFTEN DES ZUSTÄNDIGEN STAATES ZU ZAHLEN IST;",en-de,Property & Real Estate Law,"Der Betrag des Leistungsanspruchs, der der arbeitslosen Person nach dem Recht des zuständigen Staates zu gewähren ist; 

Alternatively, a more formal translation could be:

 Der Gesamtbetrag der Leistungen, die der arbeitslosen Person nach den Vorschriften des zuständigen Staates zu zahlen sind; 

Or in an even more formal tone:

 Die Höhe der dem Arbeitslosen nach dem Recht des jeweils zuständigen Staates zu gewährenden Leistungen;","DEN LEISTUNGSBETRAG , DER DEM ARBEITSLOSEN NACH DEN RECHTSVORSCHRIFTEN DES ZUSTÄNDIGEN STAATES ZU ZAHLEN IST;",7.463649482035323e-232,0.46704279620200906,[0.38630062341690063]
2 searching of restricted areas as part of a search of the ship.,2 die Durchsuchung von Bereichen mit Zugangsbeschränkung im Rahmen einer Durchsuchung des Schiffes.,en-de,Property & Real Estate Law,"2 Durchsuchung von Sperrgebieten im Rahmen einer Schiffs durchsuchung.

Alternatively, a more natural and polished translation would be:

2. Durchsuchung von beschränkten Bereichen im Rahmen der Schiffssuche.",2 die Durchsuchung von Bereichen mit Zugangsbeschränkung im Rahmen einer Durchsuchung des Schiffes.,2.1196727524857736e-78,0.4022151898734177,[0.611761212348938]
"Complementary insurance for workers in the iron and steel industry: Landesversicherungsanstalt Saarland, Abteilung Huettenknappschaftliche Pensionsversicherung, (Regional Insurance Office of the Saarland, Pension Insurance Department for Workers in the Iron and Steel Industry), Saarbruecken","HÜTTENKNAPPSCHAFTLICHE ZUSATZVERSICHERUNG : LANDESVERSICHERUNGSANSTALT SAARLAND , ABTEILUNG HÜTTENKNAPPSCHAFTLICHE PENSIONSVERSICHERUNG , SAARBRÜCKEN",en-de,Property & Real Estate Law,"Ergänzungsversicherung für Arbeiter in der Eisen- und Stahlindustrie: Landesversicherungsanstalt Saarland, Abteilung Hüttenknappschaftliche Pensionsversicherung, (Landesversicherungsanstalt des Saarlandes, Abteilung für Pensionsversicherung der Hüttenknappschaft), Saarbrücken 

(Note: I have corrected ""Huettenknappschaftliche"" to ""Hüttenknappschaftliche"" to reflect the correct German spelling and added ""des Saarlandes"" to make the translation more idiomatic)","HÜTTENKNAPPSCHAFTLICHE ZUSATZVERSICHERUNG : LANDESVERSICHERUNGSANSTALT SAARLAND , ABTEILUNG HÜTTENKNAPPSCHAFTLICHE PENSIONSVERSICHERUNG , SAARBRÜCKEN",8.579385419832874e-232,0.4650000000000001,[0.3022201359272003]
"By way of derogation from the above provisions, Member States may provide that the tax shall become chargeable, for certain transactions or for certain categories of taxable person, either:","Abweichend von den vorstehenden Bestimmungen können die Mitgliedstaaten vorsehen, daß der Steueranspruch für bestimmte Umsätze oder für Gruppen von Steuerpflichtigen zu den folgenden Zeitpunkten entsteht:",en-de,Property & Real Estate Law,"Abweichend von den vorstehenden Vorschriften können die Mitgliedstaaten vorsehen, dass die Steuer für bestimmte Umsätze oder für bestimmte Kategorien von Steuerpflichtigen entweder: 

(Note: ""By way of derogation"" is a formal expression often used in legal and official contexts, and its German equivalent is ""Abweichend von"". The translation provided aims to maintain the same level of formality as the original text.)","Abweichend von den vorstehenden Bestimmungen können die Mitgliedstaaten vorsehen, daß der Steueranspruch für bestimmte Umsätze oder für Gruppen von Steuerpflichtigen zu den folgenden Zeitpunkten entsteht:",0.13483046916198457,0.3889712747844236,[0.4502430856227875]
"3 in liaison with the port facility, the ship should ensure that vehicles destined to be loaded on board car carriers, ro-ro and other passenger ships are subjected to search prior to loading, in accordance with the frequency required in the SSP;.","3 in Absprache mit der Hafenanlage soll seitens des Schiffes sichergestellt werden, dass zum Verladen auf Autotransportschiffe, Ro-Ro-Fahrgastschiffe und andere Fahrgastschiffe bestimmte Fahrzeuge vor dem Verladen entsprechend der im Plan zur Gefahrenabwehr auf dem Schiff geforderten Häufigkeit einer Durchsuchung unterzogen werden;.",en-de,Property & Real Estate Law,"3. in Verbindung mit der Hafenanlage sollte das Schiff sicherstellen, dass Fahrzeuge, die zum Laden auf Autotransportern, Ro-Ro- und anderen Passagierschiffen bestimmt sind, vor dem Laden einer Überprüfung unterzogen werden, entsprechend der im SSP erforderlichen Häufigkeit; 

Alternatively, a more formal translation:

3. unter Zusammenarbeit mit der Hafeneinrichtung hat das Schiff sicherzustellen, dass Fahrzeuge, die zur Verladung auf Autotransportern, Ro-Ro-Schiffen und anderen Passagierschiffen bestimmt sind, vor der Verladung einer Überprüfung unterzogen werden, und zwar in der im Sicherheitsplan des Hafens (SSP) vorgeschriebenen Häufigkeit;","3 in Absprache mit der Hafenanlage soll seitens des Schiffes sichergestellt werden, dass zum Verladen auf Autotransportschiffe, Ro-Ro-Fahrgastschiffe und andere Fahrgastschiffe bestimmte Fahrzeuge vor dem Verladen entsprechend der im Plan zur Gefahrenabwehr auf dem Schiff geforderten Häufigkeit einer Durchsuchung unterzogen werden;.",1.7846053054282667e-78,0.3338134458554794,[0.7334825992584229]
The person responsible for marketing must ensure that the bursting pressure of containers is at least 20 % higher than the test pressure laid down.,"Die für das Inverkehrbringen verantwortliche Person hat sich zu vergewissern , daß der Berstdruck des Behälters mindestens 20 % über dem vorgesehenen Prüfüberdruck liegt.",en-de,Property & Real Estate Law,"Die für das Marketing verantwortliche Person muss sicherstellen, dass der Berstdruck der Behälter mindestens 20 % höher ist als der vorgeschriebene Prüfdruck.

Alternatively, a more formal translation could be:

 Der Verantwortliche für das Marketing hat sicherzustellen, dass der Berstdruck der Behälter mindestens 20 % über dem festgelegten Prüfdruck liegt.","Die für das Inverkehrbringen verantwortliche Person hat sich zu vergewissern , daß der Berstdruck des Behälters mindestens 20 % über dem vorgesehenen Prüfüberdruck liegt.",0.1089191401353215,0.5453534354918437,[0.6993774771690369]
"solely specific protection for the disabled, closely linked to the said person's social environment in the Member State concerned, and","allein dem besonderen Schutz des Behinderten zu dienen, der eng mit dem sozialen Umfeld dieser Person in dem betreffenden Mitgliedstaat verknüpft ist, und",en-de,Property & Real Estate Law,"Lediglich spezifischer Schutz für Menschen mit Behinderungen, eng verbunden mit der sozialen Umgebung der betreffenden Person im jeweiligen Mitgliedstaat, und...","allein dem besonderen Schutz des Behinderten zu dienen, der eng mit dem sozialen Umfeld dieser Person in dem betreffenden Mitgliedstaat verknüpft ist, und",5.250709850505598e-155,0.2769261530258598,[0.7362900376319885]
